take,Facebook,Google,Other,referal,website
76,0,0,1,0,0,0
77,0,1,0,0,0,0
78,0,0,0,0,1,0
79,0,0,0,0,0,0
80,1,1,0,0,0,0
81,0,0,0,1,0,0
82,1,0,0,0,1,0
83,1,0,1,0,0,0
84,0,1,0,0,0,0
85,0,1,0,0,0,0
86,0,0,0,0,0,0
87,1,0,0,0,0,0
88,0,0,0,0,0,0
89,1,1,0,0,0,0
90,1,0,0,0,1,0
91,0,0,0,0,0,0
92,0,1,0,0,0,0
93,0,0,1,0,0,0
94,0,0,1,0,0,0
95,1,0,0,0,0,0
96,1,0,0,0,0,0
97,1,0,0,1,0,0
98,0,1,0,0,0,0
99,0,0,0,0,1,0
100,0,0,1,0,0,0
101,1,0,0,0,0,1
102,0,0,0,1,0,0
103,0,1,0,0,0,0
104,0,0,1,0,0,0
105,0,0,1,0,0,0
106,0,0,0,1,0,0
107,0,1,0,0,0,0
108,0,0,0,0,0,0
109,0,0,1,0,0,0
110,0,0,0,0,1,0
111,0,0,1,0,0,0
112,1,0,0,0,0,0
113,0,0,1,0,0,0
114,0,1,0,0,0,0
115,1,1,0,0,0,0
116,0,0,0,1,0,0
117,0,0,0,1,0,0
118,1,1,0,0,0,0
119,0,0,0,0,0,1
120,0,1,0,0,0,0
121,0,1,0,0,0,0
122,1,0,0,0,0,1
123,0,0,0,0,1,0
124,1,1,0,0,0,0
125,1,0,0,1,0,0
126,0,1,0,0,0,0
127,1,0,0,0,0,1
128,1,0,0,0,1,0
129,1,0,0,0,0,0
130,1,0,0,0,0,0
131,1,0,0,0,0,1
132,0,0,0,0,1,0
133,0,0,0,1,0,0
134,0,0,0,0,1,0
135,0,0,0,0,0,0
136,0,0,1,0,0,0
137,0,0,0,0,0,1
138,0,0,0,1,0,0
139,1,0,0,0,0,1
140,0,0,0,1,0,0
141,0,0,1,0,0,0
142,0,1,0,0,0,0
143,0,0,1,0,0,0
144,1,0,0,0,0,0
145,1,0,0,1,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,1
148,0,0,0,0,0,0
149,0,1,0,0,0,0
150,1,0,0,0,1,0
151,0,0,0,0,0,1
152,0,0,0,0,0,1
153,0,0,0,0,0,1
154,1,0,1,0,0,0
155,0,0,0,0,0,0
156,1,0,0,0,0,0
157,0,1,0,0,0,0
158,0,1,0,0,0,0
159,0,0,0,0,1,0
160,1,0,0,0,0,0
161,0,1,0,0,0,0
162,0,0,0,0,1,0
163,0,0,0,1,0,0
164,0,0,1,0,0,0
165,1,0,0,0,1,0
166,0,1,0,0,0,0
167,0,0,1,0,0,0
168,0,0,0,0,1,0
169,1,1,0,0,0,0
170,0,1,0,0,0,0
171,0,0,0,1,0,0
172,0,0,0,0,0,0
173,1,0,0,0,0,1
174,0,0,0,0,1,0
175,0,0,1,0,0,0
176,0,1,0,0,0,0
177,1,0,0,0,0,0
178,1,0,1,0,0,0
179,1,0,0,0,0,1
180,1,0,1,0,0,0
181,0,0,1,0,0,0
182,0,0,1,0,0,0
183,0,0,1,0,0,0
184,0,0,0,0,0,0
185,1,0,1,0,0,0
186,0,0,0,0,0,1
187,0,1,0,0,0,0
188,0,1,0,0,0,0
189,1,0,0,0,0,1
190,0,0,0,0,1,0
191,0,0,0,0,1,0
192,0,0,1,0,0,0
193,0,0,0,0,0,1
194,1,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,1
198,1,0,0,0,0,0
199,0,1,0,0,0,0
200,0,0,0,0,0,0
201,1,0,1,0,0,0
202,0,0,1,0,0,0
203,1,0,0,0,1,0
204,1,0,0,0,0,0
205,0,0,0,0,0,1
206,1,1,0,0,0,0
207,0,0,1,0,0,0
208,1,0,0,1,0,0
209,1,0,0,0,0,1
210,0,1,0,0,0,0
211,1,0,0,0,1,0
212,0,0,1,0,0,0
213,1,0,0,0,1,0
214,0,0,0,0,0,1
215,1,0,1,0,0,0
216,0,0,0,0,0,0
217,0,1,0,0,0,0
218,0,0,0,1,0,0
219,0,0,0,1,0,0
220,0,0,0,1,0,0
221,1,0,0,0,0,0
222,1,1,0,0,0,0
223,1,1,0,0,0,0
224,0,0,1,0,0,0
225,1,0,0,0,1,0
226,0,0,1,0,0,0
227,0,0,0,1,0,0
228,0,0,0,1,0,0
229,0,0,0,1,0,0
230,0,0,0,0,0,1
231,1,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,1,0
234,0,0,0,0,1,0
235,0,0,1,0,0,0
236,1,0,0,0,0,0
237,0,0,0,0,0,0
238,1,0,1,0,0,0
239,0,0,0,0,1,0
240,0,0,0,0,1,0
241,0,0,0,1,0,0
242,1,1,0,0,0,0
243,0,0,0,1,0,0
244,0,0,1,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,1
247,1,0,0,0,0,0
248,0,0,1,0,0,0
249,0,0,0,0,1,0
250,0,1,0,0,0,0
251,0,0,0,1,0,0
252,0,0,0,1,0,0
253,1,0,0,0,1,0
254,1,1,0,0,0,0
255,0,1,0,0,0,0
256,0,0,1,0,0,0
257,0,0,0,1,0,0
258,0,0,0,1,0,0
259,0,0,0,0,1,0
260,0,0,0,0,0,0
261,1,1,0,0,0,0
262,0,1,0,0,0,0
263,1,0,0,1,0,0
264,0,1,0,0,0,0
265,0,1,0,0,0,0
266,0,0,0,0,0,1
267,0,0,1,0,0,0
268,0,1,0,0,0,0
269,1,1,0,0,0,0
270,1,0,0,0,0,0
271,0,0,0,0,1,0
272,0,1,0,0,0,0
273,0,0,1,0,0,0
274,0,0,0,1,0,0
275,1,0,1,0,0,0
276,0,0,0,0,1,0
277,0,0,1,0,0,0
278,1,1,0,0,0,0
279,0,0,0,0,0,1
280,0,0,0,0,1,0
281,0,0,0,1,0,0
282,1,0,0,1,0,0
283,0,0,0,1,0,0
284,0,0,0,0,0,1
285,0,0,0,1,0,0
286,0,0,0,0,0,1
287,0,0,1,0,0,0
288,0,1,0,0,0,0
289,1,1,0,0,0,0
290,1,0,0,1,0,0
291,0,0,1,0,0,0
292,1,0,0,0,0,0
293,0,0,0,1,0,0
294,1,0,1,0,0,0
295,0,0,0,1,0,0
296,0,0,0,1,0,0
297,0,0,0,0,0,0
298,0,1,0,0,0,0
299,0,0,0,1,0,0
300,1,0,0,0,0,1
301,0,0,0,1,0,0
302,0,0,0,0,0,1
303,0,1,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,1,0,0
306,0,0,0,0,0,0
307,1,0,0,0,0,1
308,0,0,0,0,0,0
309,0,1,0,0,0,0
310,0,0,0,1,0,0
311,1,0,0,0,0,0
312,0,0,0,0,0,0
313,0,0,0,0,0,1
314,1,0,0,1,0,0
315,0,0,0,1,0,0
316,0,0,0,0,0,1
317,0,0,1,0,0,0
318,0,0,0,0,0,0
319,0,0,0,1,0,0
320,0,1,0,0,0,0
321,1,0,0,0,1,0
322,1,0,0,1,0,0
323,1,0,0,1,0,0
324,1,0,0,0,1,0
325,1,0,0,0,1,0
326,1,0,1,0,0,0
327,0,0,0,0,0,1
328,1,0,0,0,0,0
329,0,0,0,0,0,0
330,0,0,0,0,0,0
331,0,1,0,0,0,0
332,0,0,0,0,0,0
333,0,0,0,0,0,1
334,0,0,0,0,0,1
335,0,0,0,0,0,0
336,0,0,0,1,0,0
337,0,0,0,0,0,1
338,1,0,0,0,0,1
339,0,0,0,0,0,1
340,0,0,0,0,0,1
341,1,0,0,0,1,0
342,1,0,1,0,0,0
343,0,0,0,1,0,0
344,0,0,0,0,0,1
345,1,0,1,0,0,0
346,0,0,0,0,0,0
347,1,0,1,0,0,0
348,1,0,0,0,0,0
349,0,0,0,0,0,0
350,1,0,0,0,0,0
351,0,0,1,0,0,0
352,1,0,1,0,0,0
353,0,0,0,1,0,0
354,0,0,0,0,0,0
355,0,0,0,0,0,1
356,0,0,0,0,0,0
357,0,0,1,0,0,0
358,0,0,1,0,0,0
359,0,0,0,0,0,1
360,1,0,0,0,1,0
361,1,0,0,0,1,0
362,1,0,0,0,1,0
363,0,0,0,0,0,1
364,1,0,0,1,0,0
365,0,1,0,0,0,0
366,1,1,0,0,0,0
367,0,0,1,0,0,0
368,0,0,1,0,0,0
369,0,0,0,0,0,0
370,1,0,0,0,1,0
371,0,0,0,1,0,0
372,1,0,0,0,0,0
373,0,0,0,0,1,0
374,0,0,0,0,0,0
375,0,0,0,0,0,1
376,0,0,1,0,0,0
377,0,0,0,0,1,0
378,0,0,0,0,0,0
379,0,0,0,0,1,0
380,0,0,0,1,0,0
381,1,0,1,0,0,0
382,0,0,0,1,0,0
383,0,0,0,0,0,0
384,0,0,0,0,1,0
385,1,0,0,1,0,0
386,0,0,0,0,1,0
387,1,0,0,0,0,0
388,1,0,1,0,0,0
389,0,1,0,0,0,0
390,0,0,0,1,0,0
391,1,1,0,0,0,0
392,0,1,0,0,0,0
393,0,1,0,0,0,0
394,1,1,0,0,0,0
395,0,0,0,0,0,1
396,0,0,0,1,0,0
397,1,0,0,0,0,0
398,0,0,1,0,0,0
399,0,0,0,0,0,0
400,0,0,1,0,0,0
401,0,0,0,1,0,0
402,0,0,0,1,0,0
403,1,0,0,0,0,1
404,0,1,0,0,0,0
405,1,0,0,0,0,0
406,1,0,0,0,0,0
407,0,0,1,0,0,0
408,0,1,0,0,0,0
409,0,1,0,0,0,0
410,0,1,0,0,0,0
411,1,0,0,0,0,0
412,0,0,0,1,0,0
413,1,0,0,0,0,0
414,0,0,0,0,0,0
415,1,0,0,0,0,0
416,0,0,1,0,0,0
417,1,0,0,1,0,0
418,0,0,0,1,0,0
419,1,0,0,0,1,0
420,0,0,0,1,0,0
421,1,0,0,0,1,0
422,1,0,0,0,1,0
423,0,0,0,0,0,0
424,0,1,0,0,0,0
425,1,0,1,0,0,0
426,0,1,0,0,0,0
427,0,0,0,0,0,1
428,0,0,1,0,0,0
429,0,1,0,0,0,0
430,0,0,0,0,0,1
431,1,0,0,0,0,1
432,0,0,0,1,0,0
433,0,0,0,0,0,1
434,0,0,0,1,0,0
435,0,0,0,0,0,1
436,0,0,0,1,0,0
437,0,0,0,1,0,0
438,1,0,0,1,0,0
439,0,0,0,0,0,1
440,0,0,0,0,0,0
441,0,1,0,0,0,0
442,0,0,0,1,0,0
443,0,0,0,0,0,1
444,0,0,0,0,0,0
445,0,0,0,1,0,0
446,0,0,1,0,0,0
447,1,0,0,0,0,0
448,0,0,0,0,0,0
449,0,0,0,0,1,0
450,1,0,0,0,0,1
451,1,0,1,0,0,0
452,0,0,0,1,0,0
453,0,1,0,0,0,0
454,1,0,0,0,1,0
455,0,1,0,0,0,0
456,1,1,0,0,0,0
457,0,0,0,0,0,1
458,1,0,0,0,0,1
459,0,0,0,0,0,0
460,0,0,0,0,0,1
461,0,0,1,0,0,0
462,0,0,1,0,0,0
463,0,0,0,0,1,0
464,0,0,0,1,0,0
465,0,0,0,1,0,0
466,0,0,1,0,0,0
467,0,0,0,0,0,0
468,1,0,0,0,0,0
469,1,0,0,0,0,0
470,0,0,0,0,0,1
471,0,1,0,0,0,0
472,0,0,1,0,0,0
473,0,0,1,0,0,0
474,0,1,0,0,0,0
475,1,1,0,0,0,0
476,0,0,1,0,0,0
477,1,0,0,0,1,0
478,0,0,0,1,0,0
479,0,0,1,0,0,0
480,1,0,0,0,0,1
481,0,0,1,0,0,0
482,0,0,0,0,1,0
483,0,0,0,0,1,0
484,0,0,0,0,0,0
485,0,0,1,0,0,0
486,0,0,0,1,0,0
487,0,0,0,0,0,1
488,1,1,0,0,0,0
489,0,0,0,0,0,1
490,1,0,1,0,0,0
491,0,0,0,0,0,0
492,0,0,0,0,1,0
493,0,1,0,0,0,0
494,0,0,0,0,1,0
495,1,0,0,0,0,1
496,0,0,0,0,0,1
497,0,0,1,0,0,0
498,1,0,0,0,1,0
499,0,0,0,1,0,0
500,1,1,0,0,0,0
501,0,0,0,1,0,0
502,1,0,0,0,1,0
503,0,0,0,0,0,0
504,0,1,0,0,0,0
505,1,0,0,0,1,0
506,0,0,0,0,0,0
507,1,0,0,1,0,0
508,0,0,0,1,0,0
509,0,0,0,0,1,0
510,0,0,0,0,1,0
511,1,0,0,1,0,0
512,0,0,1,0,0,0
513,0,0,0,0,1,0
514,1,0,0,0,1,0
515,0,0,0,0,1,0
516,0,1,0,0,0,0
517,0,0,0,0,0,0
518,0,0,1,0,0,0
519,0,0,0,1,0,0
520,1,0,0,1,0,0
521,0,0,0,0,1,0
522,0,0,0,0,0,0
523,0,0,0,0,0,0
524,0,0,0,0,0,0
525,0,1,0,0,0,0
526,0,0,0,1,0,0
527,1,0,1,0,0,0
528,0,1,0,0,0,0
529,0,0,0,1,0,0
530,0,1,0,0,0,0
531,0,1,0,0,0,0
532,0,0,0,0,0,0
533,0,0,1,0,0,0
534,1,0,1,0,0,0
535,1,0,0,1,0,0
536,1,0,0,0,0,0
537,0,0,0,0,0,0
538,0,1,0,0,0,0
539,1,0,1,0,0,0
540,1,1,0,0,0,0
541,0,0,0,0,1,0
542,0,0,0,1,0,0
543,0,0,0,0,0,0
544,0,0,0,0,0,0
545,0,0,0,0,1,0
546,0,0,0,0,1,0
547,0,0,0,0,0,1
548,0,1,0,0,0,0
549,0,0,0,1,0,0
550,0,0,0,0,0,0
551,0,0,0,0,1,0
552,1,0,0,0,1,0
553,0,1,0,0,0,0
554,0,0,0,0,0,0
555,0,0,1,0,0,0
556,0,0,0,0,0,1
557,0,0,0,1,0,0
558,1,0,0,0,1,0
559,0,1,0,0,0,0
560,0,0,0,0,0,1
561,1,0,0,0,0,1
562,1,0,0,0,0,1
563,0,1,0,0,0,0
564,1,0,0,0,0,1
565,0,1,0,0,0,0
566,0,0,0,0,0,0
567,0,0,0,0,1,0
568,1,0,0,0,0,1
569,0,0,0,0,0,0
570,0,0,0,0,0,0
571,1,0,0,1,0,0
572,1,0,1,0,0,0
573,0,0,0,1,0,0
574,0,0,0,1,0,0
575,0,0,0,0,1,0
576,1,0,0,1,0,0
577,0,0,0,1,0,0
578,1,0,1,0,0,0
579,1,0,1,0,0,0
580,1,0,0,0,1,0
581,0,0,0,0,1,0
582,1,0,0,0,1,0
583,0,0,0,0,0,0
584,0,0,0,1,0,0
585,0,0,0,0,0,1
586,0,0,0,0,0,0
587,0,0,0,0,1,0
588,0,0,1,0,0,0
589,1,0,0,0,0,1
590,0,0,0,0,0,1
591,1,0,0,1,0,0
592,1,1,0,0,0,0
593,1,0,0,0,1,0
594,0,0,0,0,0,1
595,0,0,0,1,0,0
596,1,0,0,0,1,0
597,0,0,0,0,0,1
598,0,0,0,1,0,0
599,1,0,0,0,1,0
600,0,0,0,0,0,0
601,0,0,0,0,1,0
602,1,0,0,0,1,0
603,0,0,0,0,0,0
604,0,1,0,0,0,0
605,0,1,0,0,0,0
606,0,0,0,0,0,1
607,0,0,0,0,0,0
608,0,0,1,0,0,0
609,1,1,0,0,0,0
610,0,0,0,0,0,1
611,0,0,0,0,0,0
612,1,1,0,0,0,0
613,0,1,0,0,0,0
614,0,0,0,1,0,0
615,0,0,0,0,0,0
616,0,0,1,0,0,0
617,0,1,0,0,0,0
618,0,1,0,0,0,0
619,1,0,0,0,0,1
620,0,1,0,0,0,0
621,1,0,0,0,0,1
622,0,0,0,0,0,0
623,1,0,0,1,0,0
624,1,0,0,0,0,0
625,1,0,1,0,0,0
626,0,0,0,1,0,0
627,0,0,0,1,0,0
628,0,0,0,1,0,0
629,0,0,0,0,0,0
630,1,0,0,1,0,0
631,0,1,0,0,0,0
632,1,0,0,0,0,1
633,0,1,0,0,0,0
634,0,0,0,0,0,1
635,0,1,0,0,0,0
636,0,0,0,0,0,0
637,0,0,1,0,0,0
638,0,0,0,0,0,0
639,0,1,0,0,0,0
640,0,0,0,1,0,0
641,1,0,1,0,0,0
642,1,0,0,0,0,0
643,0,0,0,0,0,0
644,0,0,1,0,0,0
645,0,0,0,0,1,0
646,0,0,0,1,0,0
647,0,0,0,0,0,0
648,0,0,0,0,0,1
649,1,1,0,0,0,0
650,1,0,1,0,0,0
651,0,0,0,1,0,0
652,1,1,0,0,0,0
653,1,0,1,0,0,0
654,0,0,1,0,0,0
655,1,0,0,0,0,1
656,1,1,0,0,0,0
657,1,0,0,0,1,0
658,0,0,0,1,0,0
659,0,0,1,0,0,0
660,0,1,0,0,0,0
661,0,0,0,0,1,0
662,1,0,0,0,0,0
663,0,0,0,0,0,1
664,0,0,0,1,0,0
665,0,0,0,1,0,0
666,0,0,0,0,0,0
667,1,1,0,0,0,0
668,0,0,0,0,0,0
669,1,0,0,0,0,1
670,1,0,0,1,0,0
671,0,0,0,0,1,0
672,0,0,0,0,0,0
673,0,0,0,0,0,0
674,0,0,0,0,0,1
675,0,0,0,0,0,1
676,1,0,0,0,0,0
677,1,0,0,0,1,0
678,1,0,0,0,0,1
679,0,0,0,0,1,0
680,0,0,1,0,0,0
681,0,0,0,0,0,0
682,0,0,0,0,0,1
683,0,0,0,0,0,1
684,1,0,0,1,0,0
685,1,0,1,0,0,0
686,0,0,1,0,0,0
687,0,0,0,0,1,0
688,1,0,0,0,1,0
689,0,1,0,0,0,0
690,0,0,0,0,0,0
691,0,1,0,0,0,0
692,0,0,0,1,0,0
693,0,1,0,0,0,0
694,0,1,0,0,0,0
695,1,0,0,0,0,0
696,0,1,0,0,0,0
697,0,0,0,0,1,0
698,0,0,0,0,0,1
699,0,0,0,0,0,0
700,0,0,0,1,0,0
701,1,0,0,0,1,0
702,1,0,0,0,1,0
703,1,0,1,0,0,0
704,0,0,0,1,0,0
705,0,0,0,1,0,0
706,1,0,1,0,0,0
707,1,1,0,0,0,0
708,1,1,0,0,0,0
709,0,0,0,0,0,0
710,0,0,0,0,1,0
711,0,0,0,0,1,0
712,0,0,0,0,0,1
713,0,1,0,0,0,0
714,0,0,0,1,0,0
715,0,1,0,0,0,0
716,1,0,1,0,0,0
717,0,0,0,0,0,0
718,0,0,0,0,0,1
719,0,0,0,1,0,0
720,1,0,0,0,0,0
721,0,0,0,0,0,0
722,0,0,0,1,0,0
723,1,0,0,0,1,0
724,0,0,0,0,0,1
725,0,0,1,0,0,0
726,0,0,0,0,1,0
727,0,0,0,1,0,0
728,1,0,0,0,1,0
729,0,0,0,0,1,0
730,1,0,0,0,0,0
731,0,0,0,0,0,0
732,0,0,1,0,0,0
733,0,0,0,0,0,1
734,0,1,0,0,0,0
735,0,0,0,0,0,0
736,0,0,1,0,0,0
737,0,0,0,1,0,0
738,0,0,0,0,0,0
739,1,0,0,1,0,0
740,0,0,0,0,0,1
741,0,1,0,0,0,0
742,0,0,0,0,0,0
743,0,0,0,0,1,0
744,0,0,0,0,1,0
745,0,0,0,0,0,1
746,0,0,0,0,1,0
747,0,0,0,1,0,0
748,0,0,0,0,0,0
749,0,0,0,0,0,1
750,0,0,0,1,0,0
751,0,0,0,0,0,0
752,1,0,0,1,0,0
753,0,0,0,1,0,0
754,0,1,0,0,0,0
755,0,0,0,0,0,1
756,0,0,1,0,0,0
757,1,0,0,0,1,0
758,1,0,0,0,1,0
759,0,0,0,1,0,0
760,0,0,0,0,1,0
761,1,0,0,0,1,0
762,0,0,0,0,0,0
763,1,0,0,0,0,0
764,1,0,0,0,1,0
765,1,0,0,0,1,0
766,0,0,1,0,0,0
767,1,1,0,0,0,0
768,0,1,0,0,0,0
769,0,0,0,0,0,1
770,0,0,0,1,0,0
771,1,0,0,0,1,0
772,0,1,0,0,0,0
773,0,1,0,0,0,0
774,1,0,0,0,1,0
775,0,0,0,0,0,1
776,1,0,0,0,0,0
777,0,0,0,1,0,0
778,0,0,1,0,0,0
779,0,0,0,1,0,0
780,0,0,1,0,0,0
781,0,0,1,0,0,0
782,0,0,1,0,0,0
783,0,0,0,0,0,1
784,1,1,0,0,0,0
785,0,1,0,0,0,0
786,0,0,1,0,0,0
787,1,0,0,1,0,0
788,0,0,0,0,1,0
789,0,0,0,0,0,1
790,1,0,0,0,0,1
791,0,0,1,0,0,0
792,1,1,0,0,0,0
793,0,0,0,0,1,0
794,0,0,0,1,0,0
795,0,0,0,0,0,0
796,0,0,0,0,1,0
797,1,0,1,0,0,0
798,1,0,0,1,0,0
799,0,0,0,0,0,0
800,1,0,0,0,1,0
801,1,0,0,1,0,0
802,1,0,1,0,0,0
803,1,0,0,0,1,0
804,0,0,0,0,0,1
805,1,0,0,0,0,0
806,1,0,0,0,0,0
807,1,0,0,0,0,0
808,0,0,0,0,0,1
809,0,1,0,0,0,0
810,0,0,1,0,0,0
811,0,0,0,0,1,0
812,1,0,0,0,1,0
813,1,0,1,0,0,0
814,1,0,0,0,0,0
815,1,0,0,1,0,0
816,0,1,0,0,0,0
817,0,0,0,0,0,0
818,0,0,0,0,0,0
819,0,0,0,0,0,0
820,0,0,0,0,0,0
821,0,0,0,0,0,1
822,1,0,0,0,0,0
823,1,0,0,0,0,0
824,0,0,0,0,0,0
825,1,0,0,0,0,0
826,0,0,0,0,1,0
827,0,0,0,0,0,0
828,0,0,0,0,0,0
829,0,0,0,1,0,0
830,0,0,0,0,0,0
831,0,0,1,0,0,0
832,0,0,0,1,0,0
833,0,0,0,0,0,1
834,0,0,0,0,1,0
835,1,0,0,0,0,1
836,0,0,1,0,0,0
837,0,1,0,0,0,0
838,0,0,0,0,0,1
839,1,1,0,0,0,0
840,0,1,0,0,0,0
841,1,0,0,0,1,0
842,1,0,0,0,0,0
843,0,0,0,0,1,0
844,0,0,0,0,1,0
845,0,0,0,0,0,1
846,0,0,0,1,0,0
847,0,0,1,0,0,0
848,0,1,0,0,0,0
849,0,0,0,0,0,1
850,0,0,0,0,0,1
851,0,0,0,0,0,1
852,0,1,0,0,0,0
853,1,0,1,0,0,0
854,1,1,0,0,0,0
855,0,0,1,0,0,0
856,0,1,0,0,0,0
857,0,0,1,0,0,0
858,0,0,0,0,1,0
859,0,0,0,0,0,1
860,0,0,1,0,0,0
861,1,0,1,0,0,0
862,1,1,0,0,0,0
863,0,0,0,1,0,0
864,0,0,1,0,0,0
865,0,0,1,0,0,0
866,0,0,0,1,0,0
867,1,0,0,1,0,0
868,1,1,0,0,0,0
869,0,0,1,0,0,0
870,1,1,0,0,0,0
871,0,0,1,0,0,0
872,1,0,0,1,0,0
873,0,0,0,1,0,0
874,0,0,0,0,0,1
875,1,0,0,0,1,0
876,0,0,0,1,0,0
877,0,0,0,0,0,1
878,1,0,0,0,0,1
879,1,0,0,0,0,1
880,1,0,0,1,0,0
881,0,0,0,0,0,0
882,0,0,0,1,0,0
883,0,0,0,0,0,0
884,0,0,0,0,0,0
885,0,0,0,0,0,1
886,1,0,0,1,0,0
887,0,1,0,0,0,0
888,0,1,0,0,0,0
889,0,0,0,0,0,0
890,0,1,0,0,0,0
891,0,1,0,0,0,0
892,0,1,0,0,0,0
893,0,0,1,0,0,0
894,1,0,0,0,0,1
895,0,0,1,0,0,0
896,0,1,0,0,0,0
897,1,0,0,0,0,0
898,0,0,1,0,0,0
899,1,0,0,0,0,1
900,0,0,0,0,0,0
901,1,0,0,0,0,0
902,1,0,0,0,1,0
903,0,0,0,0,0,1
904,0,0,0,0,1,0
905,1,0,1,0,0,0
906,0,1,0,0,0,0
907,0,0,0,0,0,0
908,1,0,0,0,0,0
909,0,0,1,0,0,0
910,1,0,0,0,0,0
911,0,0,1,0,0,0
912,1,0,1,0,0,0
913,0,0,0,1,0,0
914,1,0,0,1,0,0
915,0,0,0,0,0,0
916,1,0,0,0,0,0
917,0,0,0,0,0,0
918,0,0,0,1,0,0
919,1,0,0,0,1,0
920,0,0,0,0,0,0
921,0,0,0,0,0,1
922,0,0,1,0,0,0
923,0,0,0,0,0,0
924,0,1,0,0,0,0
925,0,0,0,1,0,0
926,1,0,0,0,0,0
927,0,0,0,0,0,0
928,0,1,0,0,0,0
929,0,0,1,0,0,0
930,0,0,0,0,1,0
931,0,0,0,1,0,0
932,1,0,1,0,0,0
933,0,0,1,0,0,0
934,0,0,0,1,0,0
935,1,0,0,0,1,0
936,1,0,1,0,0,0
937,0,0,0,0,1,0
938,0,1,0,0,0,0
939,0,0,0,0,1,0
940,0,0,0,1,0,0
941,0,0,1,0,0,0
942,0,1,0,0,0,0
943,0,0,1,0,0,0
944,0,0,0,1,0,0
945,0,0,0,0,0,1
946,0,1,0,0,0,0
947,0,0,0,0,1,0
948,0,1,0,0,0,0
949,0,0,0,0,1,0
950,0,0,0,0,0,0
951,0,0,0,0,0,1
952,0,0,0,0,0,1
953,1,0,0,0,0,0
954,0,1,0,0,0,0
955,0,1,0,0,0,0
956,0,0,0,1,0,0
957,1,0,0,0,0,0
958,1,0,0,1,0,0
959,0,0,0,0,0,0
960,0,0,0,0,1,0
961,0,0,0,1,0,0
962,1,0,0,0,1,0
963,0,0,1,0,0,0
964,0,0,0,0,1,0
965,1,0,1,0,0,0
966,0,0,0,0,0,1
967,0,0,0,0,0,0
968,0,0,0,0,1,0
969,1,0,1,0,0,0
970,0,0,0,0,1,0
971,1,0,0,0,0,0
972,1,0,0,0,0,0
973,0,0,0,0,0,0
974,0,0,0,0,1,0
975,1,0,0,0,0,0
976,0,0,0,0,0,0
977,0,0,0,0,0,1
978,0,0,0,1,0,0
979,0,1,0,0,0,0
980,0,0,0,0,1,0
981,0,0,0,0,1,0
982,1,0,0,0,1,0
983,0,0,0,0,1,0
984,0,0,0,1,0,0
985,0,0,0,0,0,0
986,0,1,0,0,0,0
987,1,0,1,0,0,0
988,0,0,1,0,0,0
989,0,0,0,0,0,1
990,1,0,1,0,0,0
991,0,0,0,0,0,0
992,1,1,0,0,0,0
993,0,0,0,1,0,0
994,1,0,0,1,0,0
995,0,0,0,1,0,0
996,0,0,0,0,1,0
